"所属模块","用例标题","前置条件","步骤","预期","关键词","优先级","用例类型","适用阶段","","类型可选值列表","阶段可选值列表"
"/(#0)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
单元测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段",""
"/生产监控(#1728)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警(#1730)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警/告警筛选(#2038)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警/参数告警(#2039)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警/故障告警(#2040)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警/视频监控告警(#2041)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警/车辆监控告警(#2042)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/地图告警/巡检异常告警(#2878)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/参数告警管理(#1731)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/参数告警管理/告警筛选(#2048)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/参数告警管理/批量处理告警(#2049)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/参数告警管理/告警信息展示(#2050)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/参数告警管理/告警详情(#2051)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/故障告警管理(#2043)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/故障告警管理/告警筛选(#2052)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/故障告警管理/批量处理告警(#2053)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/故障告警管理/告警信息展示(#2054)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/故障告警管理/告警详情(#2055)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/视频监控告警管理(#1732)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/视频监控告警管理/告警筛选(#2056)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/视频监控告警管理/批量处理告警(#2057)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/视频监控告警管理/告警信息展示(#2058)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/视频监控告警管理/告警详情(#2059)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/车辆监控告警管理(#2044)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/车辆监控告警管理/告警筛选(#2060)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/车辆监控告警管理/批量处理告警(#2061)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/车辆监控告警管理/告警信息展示(#2062)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/车辆监控告警管理/告警详情(#2063)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/巡检异常告警管理(#2879)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/告警统计(#1735)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/告警统计/告警分类图(#2064)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/告警统计/告警数量走势图(#2065)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/告警统计/告警处理排行榜(#2066)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/告警统计/告警等级统计(#2067)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产监控/告警统计/告警数量统计(#2068)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度(#2015)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台(#2021)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/故障处置工单(#2077)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/特车申请工单(#2078)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/值班车申请工单(#2079)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/视频监控告警工单(#2080)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/产量波动处置工单(#2081)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/应急抢修工单(#2082)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/工作台/维修保养申请工单(#2083)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/故障告警调度管理(#2022)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/故障告警调度管理/工单搜索(#2084)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/故障告警调度管理/创建故障处置单(#2085)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/故障告警调度管理/工单列表(#2086)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/故障告警调度管理/工单处理(#2087)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/视频告警调度管理(#2023)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/视频告警调度管理/工单搜索(#2088)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/视频告警调度管理/创建故障处置单(#2089)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/视频告警调度管理/工单列表(#2090)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/视频告警调度管理/工单处理(#2091)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理(#3303)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理(#3233)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井核实(#3240)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/上修审核管理(#3241)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井作业设计查询(#3242)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井作业审查查询(#3243)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井作业跟踪(#3244)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井数据查询(#3245)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井数据查询/待修井查询(#3246)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井数据查询/暂不修井查询(#3247)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井数据查询/待病工作井查询(#3248)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动管理/异常井管理/异常井数据查询/稀油检泵恢复井查询(#3249)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动分析管理(#2024)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动分析管理/工单搜索(#2092)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动分析管理/创建故障处置单(#2093)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动分析管理/工单列表(#2094)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动分析管理/工单处理(#2095)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动方案管理(#2861)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
"/生产调度/产量波动方案管理/列表(#2863)","","","1. 
2. 
3.","1. 
2. 
3.","","","","","","","",""
